Sample_ID,Word,Language_Indo,Meaning_in_Indonesia,Sentence_in_Indo,Sentence_Clean_Indo,English_Translation_Indo,Category,Language_Malay,Meaning_in_Malay,Sentence_in_Malay,Sentence_Clean_Malay,English_Translation_Malay,False_Friend_Type,Review_Status
FF0001,acara,Indonesian / Bahasa Indonesia,program/agenda; court examination,Acara pemeriksaan di pengadilan berlangsung pagi ini.,acara pemeriksaan di pengadilan berlangsung pagi ini,The court examination took place this morning.,Law & Public Administration,Malay / Bahasa Malaysia,event,Acara mahkamah itu bermula jam 9.,acara mahkamah itu bermula jam 9,The court session started at 9,same_form_different_meaning,OK
FF0002,ahli,Indonesian / Bahasa Indonesia,expert (member sense fossilized),Dia ahli hukum internasional.,dia ahli hukum internasional,He is an expert in international law.,Law & Public Administration,Malay / Bahasa Malaysia,member,Dia ahli parti itu.,dia ahli parti itu,He is a party member,same_form_different_meaning,OK
FF0003,akta,Indonesian / Bahasa Indonesia,deed; written legal document,Akta pendirian syarikat sudah ditandatangani.,akta pendirian syarikat sudah ditandatangani,The deed for the company formation was signed.,Law & Public Administration,Malay / Bahasa Malaysia,Act of Parliament,Akta itu diluluskan Parlimen tahun lalu.,akta itu diluluskan parlimen tahun lalu,The Act was passed by Parliament,same_form_different_meaning,OK
FF0499,akur,Indonesian / Bahasa Indonesia,get along/harmony,"Walaupun berbeza pendapat, mereka tetap akur dan tidak bergaduh.","walaupun berbeza pendapat, mereka tetap akur dan tidak bergaduh","Despite having different opinions, they still get along and do not fight.",General,Malay / Bahasa Malaysia,comply/abide/agree,Semua pekerja perlu akur dengan arahan ketua jabatan.,semua pekerja perlu akur dengan arahan ketua jabatan,All employees must comply with the department head's instructions.,same_form_different_meaning,OK
FF0004,ampaian,Indonesian / Bahasa Indonesia,suspension (physics/chemistry),Suspensi ini membentuk ampaian partikel halus.,suspensi ini membentuk ampaian partikel halus,This suspension forms a suspension of fine particles.,Science & Engineering,Malay / Bahasa Malaysia,clothesline / rack ,Pakaian digantung pada ampaian untuk kering.,pakaian digantung pada ampaian untuk kering,Cloths were hung on a rack to dry.,same_form_different_meaning,OK
FF0005,angkasawan,Indonesian / Bahasa Indonesia,radio broadcaster,Angkasawan itu membuat siaran langsung.,angkasawan itu membuat siaran langsung,The broadcaster went live,Science & Engineering,Malay / Bahasa Malaysia,astronaut,Angkasawan itu berjaya mendarat di bulan.,angkasawan itu berjaya mendarat di bulan,The astronaut successfully landed on the moon.,same_form_different_meaning,OK
FF0006,awak,Indonesian / Bahasa Indonesia,crew (maritime),Awak kapal bersiap untuk berlayar.,awak kapal bersiap untuk berlayar,The ship's crew is preparing to sail.,Maritime & Transport,Malay / Bahasa Malaysia,you (casual),Awak boleh semak manifes ini?,awak boleh semak manifes ini,Can you check this manifest?,same_form_different_meaning,OK
FF0007,ayat,Indonesian / Bahasa Indonesia,entry (dictionary/record),Ayat istilah ini ada dalam kamus teknis.,ayat istilah ini ada dalam kamus teknis,This term has an entry in the technical dictionary.,Education & Research,Malay / Bahasa Malaysia,sentence,Ayat ini perlu diperbetul dalam karangan.,ayat ini perlu diperbetul dalam karangan,This sentence needs correction,same_form_different_meaning,OK
FF0008,baja,Indonesian / Bahasa Indonesia,steel,Rangka baja itu tahan karat.,rangka baja itu tahan karat,The steel frame is rust-resistant.,Agriculture & Environment,Malay / Bahasa Malaysia,fertilizer,Petani membeli baja NPK.,petani membeli baja npk,Farmers bought NPK fertilizer,same_form_different_meaning,OK
FF0009,bajak,Indonesian / Bahasa Indonesia,pirate / hijack (content),Situs itu membajak kandungan berhak cipta.,situs itu membajak kandungan berhak cipta,That site pirates copyrighted content.,Agriculture & Environment,Malay / Bahasa Malaysia,plough (agriculture),Petani membajak sawah sebelum menanam.,petani membajak sawah sebelum menanam,Farmers plough the paddy field before planting,same_form_different_meaning,OK
FF0010,baki,Indonesian / Bahasa Indonesia,tray,Letak dokumen di baki itu.,letak dokumen di baki itu,Put the documents on that tray.,Economy & Finance,Malay / Bahasa Malaysia,balance / remainder,Baki akaun masih positif.,baki akaun masih positif,The account balance is still positive,same_form_different_meaning,OK
FF0011,ban,Indonesian / Bahasa Indonesia,tyre; tape (n),Ban tayar lori itu pecah.,ban tayar lori itu pecah,The truck tire burst.,Maritime & Transport,Malay / Bahasa Malaysia,bun (bread roll),Saya beli ban kecil di kedai roti.,saya beli ban kecil di kedai roti,I bought small buns at the bakery,same_form_different_meaning,OK
FF0012,banci,Indonesian / Bahasa Indonesia,sissy: effeminate man,Jangan jadi banci.,jangan jadi banci,Don't be a sissy.,General,Malay / Bahasa Malaysia,census,Kerajaan sedang menjalankan bancian penduduk.,kerajaan sedang menjalankan bancian penduduk,The government is conducting a population cencus.,same_form_different_meaning,OK
FF0013,bandar,Indonesian / Bahasa Indonesia,coastal town; (other senses) watercourse,Bandar kecil itu dilanda banjir.,bandar kecil itu dilanda banjir,The small coastal town was flooded.,Maritime & Transport,Malay / Bahasa Malaysia,port/harbor city,Bandar itu berkembang sebagai pelabuhan.,bandar itu berkembang sebagai pelabuhan,The port city grew rapidly,same_form_different_meaning,OK
FF0014,banduan,Indonesian / Bahasa Indonesia,detainee/prisoner (internee),Banduan ditempatkan di blok tahanan.,banduan ditempatkan di blok tahanan,The detainee was placed in the detention block.,Law & Public Administration,Malay / Bahasa Malaysia,convict,Banduan itu menjalani hukuman lima tahun.,banduan itu menjalani hukuman lima tahun,The convict is serving five years,same_form_different_meaning,OK
